제목,카테고리,주최,대상,접수 시작일,접수 마감일,심사 시작일,심사 종료일,발표일,D-Day,상태,링크,이미지 링크
코드게이트 AI 아이디어랩,"['IT', '소프트웨어', '게임']","사단법인코드게이트보안포럼, 금융보안원","['중학생', '고등학생', '대학생', '대학원생', '일반인']",04.29,06.30,06.30,08.29,08.30,D-17,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405130007,https://www.contestkorea.com/admincenter/files/meet/202405131127001014619.png
2024 신구대학교 전국 중·고교생 게임 공모전,"['IT', '소프트웨어', '게임']",신구대학교 VR게임콘텐츠과,"['중학생', '고등학생']",06.03,08.14,08.15,08.21,08.21,D-62,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405100055,https://www.contestkorea.com/admincenter/files/meet/202405101536578338593.jpg
2024 MATLAB 대학생 AI 경진대회,"['과학', '공학', '기술']",매스웍스코리아,"['대학생', '대학원생']",04.25,06.20,06.20,07.01,09.25,D-7,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405020096,https://www.contestkorea.com/admincenter/files/meet/202405021540474908592.png
"헥사월드 만들기 툴 오브제 기능을 활용하여 나만의 방, 나만의 공간 꾸미기 릴레이 챌린지","['IT', '소프트웨어', '게임']",데이터킹,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",06.11,07.31,08.01,08.04,08.05,D-48,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406110076,https://www.contestkorea.com/admincenter/files/meet/202406111546554262673.png
제10회 대학생 프로그래밍 경진대회,"['IT', '소프트웨어', '게임']",삼성전자,"['대학생', '대학원생']",06.04,07.04,07.05,08.31,08.31,D-21,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406040013,https://www.contestkorea.com/admincenter/files/meet/202406111459153811435.jpg
미래융합인재발굴 소프트웨어 챌린지,"['IT', '소프트웨어', '게임']",경산이노베이션아카데미,"['고등학생', '대학생', '일반인']",06.03,06.23,06.24,07.10,07.11,D-10,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406040010,https://www.contestkorea.com/admincenter/files/meet/202406111443518696609.jpg
2024 경남글로벌게임센터 게임 아이디어랩,"['아이디어', '제안']",경남글로벌게임센터,"['대학생', '대학원생', '일반인']",06.10,07.05,06.10,11.30,07.12,D-22,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100115,https://www.contestkorea.com/admincenter/files/meet/202406102021508014266.jpg
"상상은 크게, 개발은 빠르게! 로우코드 앱 개발 공모전","['IT', '소프트웨어', '게임']","영림원소프트랩, 플렉스튜디오, ZDnet","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",06.10,09.20,09.23,10.10,10.11,D-99,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100090,https://www.contestkorea.com/admincenter/files/meet/202406111320158258457.png
[남산XR스튜디오] 버추얼프로덕션(VP) 인력양성 프로그램 공모,"['UCC', '영상', '영화제']",서울특별시,"['대학생', '대학원생']",06.10,06.24,06.26,07.09,07.09,D-11,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100087,https://www.contestkorea.com/admincenter/files/meet/202406101446599349612.jpg
Big Data Analysis Hackathon,"['IT', '소프트웨어', '게임']",부산광역시,"['대학생', '대학원생', '일반인', '외국인']",06.05,06.21,06.24,06.25,06.26,D-8,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406050088,https://www.contestkorea.com/admincenter/files/meet/202406051426335994367.jpg
'일상을 바꿀 생성형 AI·대화형 GPT 기술 활용' 공모전,"['IT', '소프트웨어', '게임']",세종사이버대학교 소프트웨어공학과,"['대학생', '외국인']",05.27,07.12,07.15,07.30,07.31,D-29,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405210097,https://www.contestkorea.com/admincenter/files/meet/202405281746013253667.jpg
2024 여수시 e스포츠 페스티벌,"['IT', '소프트웨어', '게임']",여수시,"['중학생', '고등학생', '일반인']",05.20,06.23,06.29,07.20,07.20,D-10,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405220075,https://www.contestkorea.com/admincenter/files/meet/202405251227507910789.jpg
K-디지털 챌린지 : NET 챌린지 캠프 시즌 11,"['IT', '소프트웨어', '게임']",과학기술정보통신부,"['대학생', '대학원생']",06.05,06.26,06.26,07.04,07.05,D-13,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405240043,https://www.contestkorea.com/admincenter/files/meet/202405241600553219312.jpg
2024 세상에 없는 '게임책' 공모전,"['IT', '소프트웨어', '게임']","길벗 캠퍼스, 글로벌게임연구회","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.19,08.31,09.01,09.30,10.01,D-79,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404190074,https://www.contestkorea.com/admincenter/files/meet/202404191430498746630.png
2024년 제3회 영천시 공공데이터 활용 경진대회,"['IT', '소프트웨어', '게임']",영천시,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.15,06.14,06.26,07.10,07.10,D-1,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404110060,https://www.contestkorea.com/admincenter/files/meet/202404171753247447902.jpg
아이누리 자연스럽게 먹자! 공모전  (교육프로그램 개발),"['아이디어', '제안']","CJ프레시웨이,한국어린이집총연합회",['기타'],04.15,07.01,07.02,08.05,08.06,D-18,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150070,https://www.contestkorea.com/admincenter/files/meet/202404151536124705152.jpg
제8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,"['아이디어', '제안']",과학기술정보통신부,"['고등학생', '대학생', '일반인']",03.25,10.31,11.05,11.06,11.20,D-140,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403260057,https://www.contestkorea.com/admincenter/files/meet/202404011524051101946.jpg
"농식품 공공데이터, 창업경진대회 작품 공모","['아이디어', '제안']"," 농림축산식품부, 농촌진흥청","['대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.01,07.20,07.26,D-18,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403280067,https://www.contestkorea.com/admincenter/files/meet/202403281441082362781.jpg
제9회 농림축산식품부 공공데이터 활용 창업경진대회,"['아이디어', '제안']","농림축산식품부, 농촌진흥청","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.02,07.25,07.26,D-18,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403220017,https://www.contestkorea.com/admincenter/files/meet/202404181617074017736.jpg
24년상반기 SW개발공모전(SW개발아이디어 및 결과물),"['IT', '소프트웨어', '게임']",전북IT기업협회 회원사 한국스마트정보교육원,"['대학생', '대학원생', '일반인']",01.31,06.28,07.01,07.05,07.12,D-15,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202401310029,https://www.contestkorea.com/admincenter/files/meet/202401311424280133713.jpg
