title,host,hashtag,start_date,end_date,image,link
Build with AI Campus Korea: 모두를 위한 AI TOY STORY,GDG Campus Korea,"['오프라인', '유료', 'AI\t']",2024.04.19,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-20-01-04-2542-5c48dc65.png&w=640&q=75,https://festa.io/events/5116
성장 프레임워크: 주니어를 위한 네 가지 질문 | 프리온보딩 FE 챌린지 5월,원티드,"['온라인', '무료', '커리어', '프론트엔드\t']",2024.04.18,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-19-10-57-4557-adb958e0.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_fe_21
컨테이너 기반 서버 관리 경험으로 면접 뽀개기 | 프리온보딩 BE 챌린지 5월,원티드,"['온라인', '무료', '커리어', '백엔드']",2024.04.18,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-19-10-58-5190-5eaa675b.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_be_19
하나의 코드로 Android와 iOS를! | 프리온보딩 Flutter 챌린지 5월,원티드,"['온라인', '무료', '커리어', 'iOS', '안드로이드']",2024.04.18,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-19-11-00-0294-75835167.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_flutter_1
5년 차 이상 미들레벨을 위한 | 프리온보딩 커리어점프,원티드,"['온라인', '무료', '커리어']",2024.04.18,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-19-11-01-2656-f9a41481.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_jump_3
SciPy Korea 2024,SciPy Korea,"['오프라인', '무료', '데이터']",2024.04.23,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-22-13-2372-6ed15198.webp&w=640&q=75,https://festa.io/events/5136
인프콘 발표자 모집,인프런,"['오프라인', '무료', '기술일반']",2024.04.03,2024.05.02,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-25-00-52-1792-5ccda743.png&w=640&q=75,https://www.inflearn.com/infcon-2024/teaser/speaker?utm_source=github_dev_event&utm_medium=owned&utm_campaign=traffic_infcon_&utm_content=community_&utm_term=240404
생성형 AI를 활용한 잇기 해커톤,잇기,"['오프라인', '무료', '대회', 'AI\t']",2024.04.29,2024.05.03,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-29-22-46-2499-75f20704.png&w=640&q=75,https://event-us.kr/itcreator/event/82313
7TH BNW ACP 월드챔피언쉽 국가대표 선발 경진대회,KOREA EDUCATION GROUP,"['온라인', '무료', 'AI\t']",2024.03.25,2024.05.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-42-0815-6a22035f.png&w=640&q=75,http://bnwcontest.com/main
2024 DND 해커톤,DND,"['오프라인', '유료', '해커톤']",2024.04.17,2024.05.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-20-01-00-3965-4edaea9b.png&w=640&q=75,https://festa.io/events/4978
