title,url,img_url,status,category,target,host,sponsor,period,d-day,total_prize,first_prize
제15회 LH 대학생 국토개발기술대전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88338,https://www.wevity.com//upload/contest/20240614234953_79c86c1c.jpg,접수중,"기획/아이디어, 논문/리포트, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어",대학생,한국토지주택공사, ,2024-06-03 ~ 2024-07-26,D-27,3천만원~1천만원,500만원
[KT그룹희망나눔재단] 제1회 스마트 AI 콘텐츠 공모전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88072,https://www.wevity.com//upload/contest/20240610004802_d79a4bc3.jpg,접수예정,"광고/마케팅, 디자인/캐릭터/웹툰, 웹/모바일/IT, 게임/소프트웨어, 예체능/미술/음악","청소년, 어린이, 기타",KT그룹희망나눔재단, ,2024-07-01 ~ 2024-07-12,D-13,1천만원이하,100만원
"상상은 크게, 개발은 빠르게! 로우코드 앱 개발 공모전",https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88028,https://www.wevity.com//upload/contest/20240608055310_0c67cfae.jpg,접수중,게임/소프트웨어,제한없음,"영림원소프트랩, 플렉스튜디오, ZDnet", ,2024-06-10 ~ 2024-09-20,D-83,5천만원~3천만원,"1,000만원"
2024 블러썸 청소년 음악제,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=87942,https://www.wevity.com//upload/contest/20240605030622_d29aea7e.jpg,마감임박,"광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 문학/글/시나리오, 예체능/미술/음악, 기타",청소년,"SK브로드밴드, LOVE FNC / 한국문화예술교육진흥원, 드림어스컴퍼니, 서울YMCA", ,2024-05-13 ~ 2024-06-30,D-1,3천만원~1천만원,300만원
일상을 바꿀 생성형 AI 및 대화형 GPT 기술 활용 공모전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=87586,https://www.wevity.com//upload/contest/20240529125640_3e528ce4.jpg,접수중,게임/소프트웨어,"일반인, 대학생, 기타",세종사이버대학교 소프트웨어공학과, ,2024-05-27 ~ 2024-07-12,D-13,1천만원이하,30만원
2024 게임음악 경연대회 The 1st GXG SOUND TRACK,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88102,https://www.wevity.com//upload/contest/20240610150059_7e4ab64e.jpg,접수중,게임/소프트웨어,제한없음,"성남시 / 성남산업진흥원, 게임문화재단", ,2024-06-07 ~ 2024-07-21,D-22,3천만원~1천만원,"1,000만원"
2024 구미대학교 전국 고교생 게임아트 & 웹툰 공모전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88245,https://www.wevity.com//upload/contest/20240612210030_f311e399.jpg,접수중,게임/소프트웨어,청소년,"구미대학교 / 비주얼게임컨텐츠스쿨, 웹툰애니메이션스쿨",구미대학교 산학협의회 및 프리미엄 기어 브랜드_스틸시리즈,2024-06-01 ~ 2024-09-27,D-90,1천만원이하,50만원
[SCPC 2024] 제10회 삼성전자 대학생 프로그래밍 경진대회,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=87885,https://www.wevity.com//upload/contest/20240604015536_6b1852dd.jpg,마감임박,게임/소프트웨어,대학생,삼성전자, ,2024-06-04 ~ 2024-07-04,D-5,5천만원이상,"2,000만원"
[예술경영지원센터] 제 4회 KOPIS 빅데이터 공모전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88077,https://www.wevity.com//upload/contest/20240610101132_adb65c36.jpg,접수중,"기획/아이디어, 논문/리포트, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 대외활동/서포터즈","대학생, 기타",(재)예술경영지원센터, ,2024-06-10 ~ 2024-07-11,D-12,5천만원이상,600만원
제3회 경운대학교 지능형 모빌리티 SW경진대회,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=88678,https://www.wevity.com//upload/contest/20240624101816_641ab52b.jpg,접수중,게임/소프트웨어,청소년,경운대학교 / 경운대학교 소프트웨어중심대학사업,"과학기술정보통신부, 경상북도, 구미시",2024-06-24 ~ 2024-07-20,D-21,1천만원이하,30만원
2024년 신구대학교 VR게임콘텐츠과 전국 중·고교생 게임 공모전,https://www.wevity.com/index.php?c=find&s=1&gub=1&cidx=21&gbn=view&gp=1&ix=86988,https://www.wevity.com//upload/contest/20240511043208_88bf99fb.jpg,접수중,게임/소프트웨어,청소년,신구대학교 VR게임콘텐츠과, ,2024-06-03 ~ 2024-08-14,D-46,다양한 혜택, 
