title,url,img_url,host,period,tags
Regional Scrum Gathering Seoul 2024...,https://scrum-korea.com/rsgseoul24,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent-thumbnail-light.png&w=640&q=75,Scrum Korea,2024.03.20 (수) ~ 2024.07.04 (목),"오프라인, 무료, 기술일반"
부스트캠프 2024 AI,https://boostcamp.connect.or.kr/guide_ai.html,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-29-21-30-0171-aa39a550.png&w=640&q=75,전자신문사,2024.05.08 (수) ~ 2024.07.02 (화),"온라인, 오프라인, 무료, AI	, 교육"
2024 데이터센터 서밋 코리아,https://www.sek.co.kr/apply.php?sn=571,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-27-13-49-5424-623e3d37.jpeg&w=640&q=75,전자신문사,2024.06.04 (화) ~ 2024.07.01 (월),"오프라인, 무료, 기술일반"
AI 웹 서비스 스쿨 1기,https://www.wanted.co.kr/events/techit-kdt-aiw-1st,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-11-23-44-4059-3daa2fb9.jpeg&w=640&q=75,멋쟁이사자처럼,2024.06.05 (수) ~ 2024.07.03 (수),"온라인, 무료, AI	"
Kafka와 Kafka Connect를 이용한 데이터 흐름 이해...,https://docs.google.com/forms/d/e/1FAIpQLSecMOxDvlartQGaE3PVkxGaQ_acw3utwQQwjtb8cOtoI3OPjQ/viewform,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-06-06-00-47-5149-344a3bfc.png&w=640&q=75,GT Plus,2024.06.05 (수) ~ 2024.07.03 (수),"오프라인, 무료, 백엔드"
2024년 공개SW 개발자대회,https://www.oss.kr/dev_competition,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-31-02-38-3875-57f44587.png&w=640&q=75,과학기술정보통신부,2024.05.29 (수) ~ 2024.07.04 (목),"온라인, 무료, 대회, 기술일반"
한빛앤 MSA #2-9 주니어 개발자를 위한 개발 일정 산출 노하우...,https://festa.io/events/5395,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-14-01-32-3695-b047c26d.png&w=640&q=75,한빛앤 MSA,2024.06.13 (목) ~ 2024.07.03 (수),"오프라인, 유료, 백엔드"
Go To Jeju 2024,https://festa.io/events/5326,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-29-08-02-0268-29204970.png&w=640&q=75,Golang Korea,2024.03.20 (수) ~ 2024.07.04 (목),"오프라인, 유료, 기술일반"
Cloud Gaming Day,https://form.naver.com/response/LY1COWgAr8_vuKm9cUcaHg,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-18-23-03-4840-8dbfec72.png&w=640&q=75,네이버 클라우드 & 디딤365 & 씽킹데이터,2024.06.17 (월) ~ 2024.07.03 (수),"오프라인, 무료, 클라우드"
제10회 대학생 프로그래밍 경진대회,https://bit.ly/4bZTYb2,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-11-23-48-0555-867d5434.jpg&w=640&q=75,삼성전자,2024.06.04 (화) ~ 2024.07.04 (목),"온라인, 무료, 대회"
